"Post date","Post hour","Post minute","Comment","Like","Share"
20161229,3,24,4,79,17
20161221,10,7,5,130,29
20161214,3,7,0,66,14
20161213,10,35,58,1572,147
20161227,3,29,19,325,49
20161226,9,6,1,152,33
20161205,3,3,3,249,27
20161204,9,0,0,325,14
20161204,3,37,0,161,31
20161224,10,51,3,113,26
20161230,10,29,0,233,19
20161202,10,34,0,88,18
20161209,10,48,0,90,14
20161216,3,3,5,137,10
20161201,5,22,2,577,20
20161221,10,16,4,86,18
20161214,3,44,2,40,12
20161227,12,13,15,678,20
20161227,3,54,4,54,17
20161212,11,28,0,34,8
20161219,3,49,3,66,12
20161218,10,23,0,0,0
20161218,10,43,0,16,2
20161225,3,20,0,72,24
20161203,10,10,3,99,19
20161203,3,4,0,88,18
20161223,11,11,10,412,72
20161216,3,41,0,100,17
20161202,3,20,36,523,63
20161229,11,30,18,143,13
20161215,2,14,33,107,22
20161207,10,49,1,27,11
20161221,3,22,2,155,47
20161227,9,17,4,98,23
20161206,3,30,2,56,17
20161205,11,40,6,172,21
20161212,3,30,0,96,17
20161211,10,19,16,76,8
20161211,9,29,11,227,31
20161218,3,37,1,44,14
20161210,11,48,7,216,39
20161217,3,42,6,187,18
20161223,10,15,7,26,3
20161216,3,36,7,29,10
20161201,11,37,0,47,11
20161201,3,48,4,57,10
20161207,11,6,4,174,36
20161221,2,7,6,18,8
20161206,11,8,0,77,15
20161213,2,21,1,12,1
20161128,9,48,1,48,9
20161128,3,5,24,285,28
20161106,9,28,9,202,31
20161127,3,47,4,64,19
20161112,10,53,4,66,13
20161105,2,40,2,65,14
20161125,11,41,2,164,54
20161111,3,22,0,40,13
20161103,10,59,3,76,11
20161110,3,55,4,139,17
20161130,11,43,8,101,14
20161109,2,25,8,144,10
20161122,10,16,10,179,13
20161122,3,21,4,219,22
20161128,10,9,2,60,7
20161128,3,41,19,77,23
20161106,11,36,0,48,7
20161113,3,32,20,697,70
20161119,11,50,0,53,17
20161112,3,24,7,84,28
20161111,10,30,7,146,9
20161111,3,14,17,449,84
20161124,11,26,3,226,44
20161117,2,48,14,172,47
20161130,11,50,2,99,13
20161116,2,53,20,411,74
20161130,2,30,0,0,0
20161128,10,13,4,85,8
20161107,3,13,0,56,8
20161106,12,28,2,29,7
20161106,3,31,2,86,13
20161112,10,51,18,370,53
20161105,3,34,5,190,57
20161111,10,15,2,101,19
20161104,2,27,2,99,16
20161103,9,13,10,140,8
20161124,3,38,2,130,31
20161123,10,40,3,270,38
20161102,3,26,3,30,6
20161101,11,52,2,107,17
20161129,3,8,13,331,77
20161121,9,33,0,78,13
20161107,3,38,9,301,32
20161120,9,48,2,111,16
20161113,4,16,2,124,22
20161029,10,27,5,153,27
20161015,3,48,3,51,11
20161007,11,17,1,115,26
20161028,3,11,7,310,61
20161006,10,45,12,328,90
20161027,9,39,0,0,0
20161013,3,49,26,1505,95
20161005,10,8,2,63,14
20161019,4,25,0,13,4
20161025,11,53,4,59,9
20161025,4,1,42,955,139
20161003,11,59,9,181,32
20161024,4,4,17,193,28
20161002,9,35,7,125,16
20161030,3,36,4,217,50
20161022,10,2,2,28,4
20161015,8,55,0,NA,NA
20161029,4,12,4,117,18
20161024,3,9,2,79,16
20161030,13,19,0,15,2
20161030,12,59,0,4,2
20161002,12,4,1,431,26
20161030,11,59,0,7,0
20161009,10,37,0,7,2
20161016,10,5,0,6,2
20161016,9,52,0,2,NA
20161002,9,13,6,186,40
20161002,8,34,1,1,2
20161016,7,20,1,3,2
20161030,6,56,0,7,NA
20161016,5,35,0,7,2
20161016,3,34,3,198,41
20161001,13,28,0,9,1
20161022,13,35,0,4,1
20161008,12,9,0,3,0
20161008,11,30,0,8,2
20161029,9,34,0,7,3
20161022,9,25,1,7,2
20161015,8,47,0,11,1
20161001,6,16,2,28,4
20161001,2,6,0,56,12
20161021,10,41,0,32,16
20161021,8,54,4,32,3
20161007,3,57,0,129,25
20161027,10,21,4,77,19
20161027,3,6,15,143,44
20161026,10,19,2,227,36
20161012,2,49,60,859,90
20161011,10,39,10,377,60
20161018,3,11,3,41,9
20161031,10,31,6,76,14
20161003,3,36,0,189,15
20161030,10,40,0,80,14
20161023,4,10,3,148,28
20161029,11,40,0,24,11
20161015,4,45,24,302,41
20161028,11,48,2,166,32
20161014,4,6,47,358,49
20161006,10,34,7,161,25
20161020,1,27,13,319,55
20160907,7,22,0,54,16
20160906,11,35,16,117,30
20160927,2,5,1,115,21
20160912,10,20,30,187,35
20160912,3,10,1,84,13
20160925,9,4,6,363,40
20160904,3,42,6,244,32
20160910,10,34,22,290,98
20160924,4,33,4,243,41
20160930,10,13,0,18,NA
20160923,3,12,0,113,19
20160915,10,20,2,77,5
20160929,2,9,8,485,64
20160921,10,59,144,1622,208
20160907,2,25,6,99,16
20160920,9,34,3,188,26
20160913,2,49,2,30,6
20160912,10,4,38,163,27
20160919,4,30,6,179,40
20160925,3,31,5,204,34
20160910,10,46,2,165,22
20160917,3,17,29,1047,98
20160930,11,17,2,234,40
20160909,2,54,7,250,42
20160922,10,32,4,154,36
20160915,4,30,20,150,29
20160914,10,54,4,102,8
20160921,2,32,1,226,44
20160913,10,56,6,345,121
20160913,3,49,11,68,11
20160905,10,51,0,62,10
20160926,6,3,5,223,35
20160911,10,27,0,61,6
20160925,4,45,1,104,12
20160927,10,55,3,146,15
20160920,3,40,2,102,15
20160815,10,28,9,766,43
20160815,4,2,0,63,7
20160814,10,57,3,113,17
20160807,3,15,6,442,42
20160813,10,49,9,278,43
20160827,8,11,2,64,7
20160812,13,35,1,52,7
20160825,9,47,0,30,2
20160804,10,5,33,1155,102
20160818,3,44,2,139,25
20160817,9,14,0,40,5
20160831,2,8,2,53,15
20160816,10,44,4,220,19
20160809,3,41,2,114,16
20160822,12,9,0,39,3
20160815,3,37,4,859,68
20160821,10,7,5,137,20
20160821,3,28,1,54,11
20160813,10,51,2,74,22
20160813,3,7,6,98,3
20160819,10,40,2,264,21
20160812,1,11,3,36,11
20160825,11,12,1,11,3
20160818,3,11,4,435,31
20160824,10,6,2,114,10
20160803,4,29,2,17,9
20160823,12,41,41,15,1
20160809,7,51,3,87,10
20160815,12,28,16,227,28
20160801,4,36,2,86,8
20160814,10,46,6,179,27
20160807,4,20,1,74,11
20160806,10,46,18,332,54
20160827,6,55,2,80,21
20160729,14,52,9,95,17
20160708,8,34,3,188,26
20160714,10,4,6,109,11
20160721,3,10,64,367,25
20160713,13,29,9,102,19
20160719,23,19,2,113,20
20160705,13,50,0,94,20
20160719,6,27,6,14,1
20160725,11,44,1,43,10
20160718,5,20,1,98,21
20160731,10,55,3,13,1
20160731,4,26,12,237,45
20160723,10,11,4,112,23
20160730,2,39,2,101,25
20160708,11,3,10,145,31
20160708,3,5,6,535,83
20160728,11,13,4,118,22
20160728,6,21,9,484,79
20160727,11,4,18,315,76
20160713,5,44,372,5172,790
20160712,13,31,4,154,30
20160712,8,14,0,73,15
20160711,12,20,0,96,19
20160704,6,55,1,98,19
20160731,11,1,1,53,14
20160717,6,22,4,71,10
20160723,11,13,6,194,34
20160730,5,38,6,226,42
20160708,12,13,11,238,51
20160729,3,45,10,755,58
20160728,12,13,30,47,8
20160728,6,55,2,126,32
20160706,13,12,4,104,10
20160727,1,21,10,167,26
20160712,13,14,9,152,41
20160712,7,33,0,128,15
20160725,13,43,13,234,43
20160704,3,1,2,61,16
20160703,11,46,0,66,9
20160710,3,59,7,529,60
20160723,13,44,3,42,10
20160730,3,43,2,75,24
20160708,10,49,13,61,13
20160715,3,36,26,162,7
20160714,9,49,2,47,4
20160707,5,43,6,696,28
20160713,10,25,7,215,47
20160713,3,25,22,534,31
20160728,12,47,1,143,27
20160721,3,42,18,46,7
20160713,13,56,36,98,14
20160713,4,32,0,25,5
20160621,13,42,23,204,44
20160607,9,50,11,202,5
20160607,3,44,7,148,39
20160606,12,52,1,40,8
20160606,4,2,1,71,17
20160626,11,18,0,104,13
20160605,4,26,1,34,4
20160618,12,34,11,129,12
20160611,4,12,4,72,18
20160617,11,44,0,15,3
20160616,22,48,14,102,9
20160616,12,43,103,469,33
20160602,11,34,5,57,5
20160630,7,40,0,23,2
20160609,3,33,5,141,26
20160615,11,49,0,19,5
20160615,3,28,1,71,23
20160607,13,28,0,72,21
20160607,2,13,5,54,7
20160627,14,33,5,93,19
20160627,3,7,0,62,10
20160626,11,7,0,78,16
20160619,4,32,0,14,1
20160625,9,38,11,231,43
20160618,2,31,1,72,16
20160624,13,6,9,197,28
20160624,3,8,4,330,29
20160630,12,20,0,148,7
20160616,2,54,2,208,28
20160608,13,6,12,148,28
20160601,3,36,4,154,26
20160621,13,45,3,142,18
20160607,3,11,8,107,20
20160620,13,17,0,22,3
20160613,3,37,2,84,13
20160619,10,45,2,59,12
20160605,3,59,3,65,14
20160625,12,38,0,24,4
20160604,4,50,9,186,23
20160624,12,16,0,58,17
20160617,3,23,2,74,14
20160623,13,18,2,180,44
20160623,5,46,18,168,49
20160615,11,19,0,36,5
20160621,13,53,2,51,6
20160614,5,39,2,67,14
20160606,10,46,20,1372,47
20160606,3,26,2,57,6
20160606,3,19,2,33,10
20160501,14,2,1,79,17
20160520,9,7,3,97,22
20160519,12,24,16,617,58
20160526,4,23,7,139,34
20160504,12,19,20,199,32
20160504,5,44,1,107,26
20160524,12,40,0,50,10
20160531,1,15,0,64,20
20160509,2,54,2,55,10
20160522,2,14,1,142,37
20160514,14,44,2,72,9
20160528,6,19,4,79,16
20160527,10,31,25,244,44
20160519,10,6,25,307,58
20160512,4,11,6,212,36
20160504,11,0,2,95,17
20160531,11,27,5,194,33
20160516,13,15,6,101,29
20160509,2,27,3,46,14
20160522,13,27,3,156,20
20160508,2,23,37,821,90
20160521,13,30,1,58,13
20160521,8,3,12,155,23
20160527,13,48,45,1639,122
20160506,9,58,3,155,32
20160505,13,10,4,166,33
20160519,3,34,6,210,39
20160525,7,59,4,400,25
20160517,14,26,2,98,18
20160503,8,37,12,138,38
20160516,13,48,3,148,16
20160509,3,15,2,267,40
20160515,14,15,1,144,29
20160522,2,18,25,256,54
20160507,9,3,3,72,24
20160507,3,31,0,87,18
20160520,7,59,1,129,36
20160428,15,44,1,179,30
20160413,13,15,9,194,33
20160406,8,55,1,124,32
20160412,13,41,4,304,47
20160405,2,37,12,138,39
20160425,2,30,4,41,9
20160410,3,47,2,163,35
20160416,14,17,45,407,76
20160409,3,49,17,447,123
20160429,7,34,7,38,11
20160429,5,5,2,93,26
20160428,12,9,0,59,16
20160428,7,46,0,286,30
20160413,7,39,0,66,13
20160426,13,15,8,236,51
20160412,6,15,2,152,11
20160404,14,56,51,1998,128
20160424,14,3,8,186,18
20160402,20,55,11,235,34
20160402,13,38,1,64,22
20160409,3,50,2,92,28
20160422,13,41,3,53,13
20160408,7,29,5,140,38
20160428,3,13,0,48,8
20160406,13,19,0,112,14
20160420,8,19,0,35,5
20160419,13,18,4,37,3
20160426,2,4,0,48,14
20160425,13,53,6,766,109
20160404,2,6,1,96,18
20160403,14,20,1,57,13
20160410,13,19,3,114,21
20160409,9,10,1,51,6
20160416,3,3,1,87,27
20160401,9,50,5,81,11
20160415,3,47,1,71,18
20160407,13,12,9,164,52
20160414,5,54,5,91,26
20160420,13,50,9,329,38
20160420,4,27,4,128,17
20160426,6,3,1,379,40
20160411,3,24,1,52,24
20160417,10,22,1,63,26
20160403,3,24,2,97,25
20160402,9,20,2,56,9
20160409,4,28,1,36,7
20160401,13,55,4,138,26
20160429,3,12,7,142,24
20160407,13,44,1,75,15
20160421,3,54,1,89,14
20160304,14,8,2,63,16
20160303,14,21,3,176,29
20160324,7,48,7,227,15
20160302,15,19,3,25,6
20160323,10,58,0,0,0
20160309,10,43,1,27,11
20160330,4,56,0,39,14
20160301,12,12,0,61,13
20160308,3,57,0,32,7
20160307,19,17,0,2,0
20160328,18,25,8,109,3
20160307,18,16,0,32,6
20160321,3,36,2,68,15
20160306,18,44,0,6,1
20160327,17,37,4,213,13
20160313,15,25,0,2,0
20160327,15,1,0,3,0
20160306,14,4,0,6,0
20160306,12,5,0,4,0
20160326,17,48,0,4,1
20160305,17,46,12,211,14
20160305,15,36,1,15,1
20160305,15,4,11,95,4
20160305,13,28,16,127,0
20160319,10,25,0,136,13
20160319,6,3,2,32,15
20160326,3,20,1,76,9
20160325,10,3,1,28,7
20160304,4,7,0,0,0
20160331,13,43,10,664,97
20160301,9,21,1,62,10
20160329,5,37,0,48,20
20160314,13,17,1,55,7
20160328,2,1,10,197,21
20160313,10,19,6,88,24
20160327,5,38,2,59,6
20160220,13,37,6,234,26
20160213,6,25,3,148,21
20160226,12,9,0,96,29
20160219,6,35,4,49,15
20160225,12,55,3,98,27
20160225,3,3,14,198,70
20160203,13,14,5,159,53
20160217,9,11,1,22,6
20160210,6,4,6,154,18
20160216,13,22,5,128,32
20160216,3,36,2,129,32
20160208,13,3,146,1546,181
20160229,4,40,5,79,11
20160207,13,20,19,214,78
20160221,2,6,8,134,34
20160227,13,9,9,268,36
20160227,3,20,4,128,38
20160212,13,13,3,47,21
20160219,3,3,1,200,37
20160204,12,50,5,264,36
20160211,3,21,10,193,61
20160224,13,1,4,114,13
20160210,3,49,7,160,57
20160209,13,6,0,46,15
20160216,4,32,4,136,42
20160229,12,43,0,73,13
20160130,16,22,0,65,19
20160116,10,55,7,579,47
20160123,4,25,1,101,5
20160115,13,56,1,74,31
20160129,4,43,7,84,36
20160121,11,12,56,360,99
20160114,4,22,0,5,2
20160106,10,56,3,187,36
20160106,3,34,2,69,26
20160119,7,46,2,82,24
20160119,2,8,0,12,2
20160111,12,18,2,56,25
20160118,2,22,1,44,21
20160110,10,43,21,277,80
20160110,2,5,1,74,28
20160109,11,9,1,79,30
20160109,3,56,1,105,46
20160108,11,41,0,128,9
20160104,2,23,17,185,55
20160131,10,28,10,125,41
20160110,2,1,5,53,26
20160129,8,39,0,53,22
20160108,2,58,4,93,18
20160128,11,27,7,91,38
20160121,4,35,0,91,28
